run	Sample	reference	biosample
230720_M05240_0127_000000000-KVV5C	SparkAIS_S1_a1	CAG_EGFP_ITR_corrected	S1
230720_M05240_0127_000000000-KVV5C	SparkAIS_S2_a1	CAG_EGFP_ITR_corrected	S2
230720_M05240_0127_000000000-KVV5C	SparkAIS_S3_a1	CAG_EGFP_ITR_corrected	S3
230720_M05240_0127_000000000-KVV5C	SparkAIS_S4_a1	CAG_EGFP_ITR_corrected	S4
230720_M05240_0127_000000000-KVV5C	SparkAIS_S5_a1	CAG_EGFP_ITR_corrected	S5
230720_M05240_0127_000000000-KVV5C	SparkAIS_S6_a1	CAG_EGFP_ITR_corrected	S6
230720_M05240_0127_000000000-KVV5C	SparkAIS_S7_a1	CAG_EGFP_ITR_corrected	S7
230720_M05240_0127_000000000-KVV5C	SparkAIS_S8_a1	CAG_EGFP_ITR_corrected	S8
230720_M05240_0127_000000000-KVV5C	SparkAIS_S9_a1	CAG_EGFP_ITR_corrected	S9
230720_M05240_0127_000000000-KVV5C	SparkAIS_S10_a1	CAG_EGFP_ITR_corrected	S10
230720_M05240_0127_000000000-KVV5C	SparkAIS_S11_a1	CAG_EGFP_ITR_corrected	S11
230720_M05240_0127_000000000-KVV5C	SparkAIS_S12_a1	CAG_EGFP_ITR_corrected	S12
230818_VH00163_52_AACWHTHM5	004_S1_S1_a1	CAG_EGFP_ITR_corrected	S1
230818_VH00163_52_AACWHTHM5	004_S2_S2_a1	CAG_EGFP_ITR_corrected	S2
230818_VH00163_52_AACWHTHM5	004_S3_S3_a1	CAG_EGFP_ITR_corrected	S3
230818_VH00163_52_AACWHTHM5	004_S4_S4_a1	CAG_EGFP_ITR_corrected	S4
230818_VH00163_52_AACWHTHM5	004_S5_S5_a1	CAG_EGFP_ITR_corrected	S5
230818_VH00163_52_AACWHTHM5	004_S6_S6_a1	CAG_EGFP_ITR_corrected	S6
230818_VH00163_52_AACWHTHM5	004_S7_S7_a1	CAG_EGFP_ITR_corrected	S7
230818_VH00163_52_AACWHTHM5	004_S8_S8_a1	CAG_EGFP_ITR_corrected	S8
230818_VH00163_52_AACWHTHM5	004_S9_S9_a1	CAG_EGFP_ITR_corrected	S9
230818_VH00163_52_AACWHTHM5	004_S10_S10_a1	CAG_EGFP_ITR_corrected	S10
