run	Sample	reference	biosample	tech_replicate	bio_replicate	condition	data_source	library_type	host_ref
230720_M05240_0127_000000000-KVV5C	SparkAIS_S1_a1	CAG_EGFP_ITR_corrected	S1	rep1	rep1	mock_control	Spark	slimPCR	mm39
230720_M05240_0127_000000000-KVV5C	SparkAIS_S2_a1	CAG_EGFP_ITR_corrected	S2	rep1	rep2	mock_control	Spark	slimPCR	mm39
230720_M05240_0127_000000000-KVV5C	SparkAIS_S3_a1	CAG_EGFP_ITR_corrected	S3	rep1	rep1	standard_control	Spark	slimPCR	mm39
230720_M05240_0127_000000000-KVV5C	SparkAIS_S4_a1	CAG_EGFP_ITR_corrected	S4	rep1	rep2	standard_control	Spark	slimPCR	mm39
230720_M05240_0127_000000000-KVV5C	SparkAIS_S5_a1	CAG_EGFP_ITR_corrected	S5	rep1	rep1	low_dose	Spark	slimPCR	mm39
230720_M05240_0127_000000000-KVV5C	SparkAIS_S6_a1	CAG_EGFP_ITR_corrected	S6	rep1	rep2	low_dose	Spark	slimPCR	mm39
230720_M05240_0127_000000000-KVV5C	SparkAIS_S7_a1	CAG_EGFP_ITR_corrected	S7	rep1	rep1	high_dose	Spark	slimPCR	mm39
230720_M05240_0127_000000000-KVV5C	SparkAIS_S8_a1	CAG_EGFP_ITR_corrected	S8	rep1	rep2	high_dose	Spark	slimPCR	mm39
230720_M05240_0127_000000000-KVV5C	SparkAIS_S9_a1	CAG_EGFP_ITR_corrected	S9	rep1	rep1	low_dose_with_standard	Spark	slimPCR	mm39
230720_M05240_0127_000000000-KVV5C	SparkAIS_S10_a1	CAG_EGFP_ITR_corrected	S10	rep1	rep2	low_dose_with_standard	Spark	slimPCR	mm39
230720_M05240_0127_000000000-KVV5C	SparkAIS_S11_a1	CAG_EGFP_ITR_corrected	S11	rep1	rep1	high_dose_with_standard	Spark	slimPCR	mm39
230720_M05240_0127_000000000-KVV5C	SparkAIS_S12_a1	CAG_EGFP_ITR_corrected	S12	rep1	rep2	high_dose_with_standard	Spark	slimPCR	mm39
230818_VH00163_52_AACWHTHM5	004_S1_S1_a1	CAG_EGFP_ITR_corrected	S1	rep1	rep1	mock_control	Spark	TES	mm39
230818_VH00163_52_AACWHTHM5	004_S2_S2_a1	CAG_EGFP_ITR_corrected	S2	rep1	rep2	mock_control	Spark	TES	mm39
230818_VH00163_52_AACWHTHM5	004_S3_S3_a1	CAG_EGFP_ITR_corrected	S3	rep1	rep1	standard_control	Spark	TES	mm39
230818_VH00163_52_AACWHTHM5	004_S4_S4_a1	CAG_EGFP_ITR_corrected	S4	rep1	rep2	standard_control	Spark	TES	mm39
230818_VH00163_52_AACWHTHM5	004_S5_S5_a1	CAG_EGFP_ITR_corrected	S5	rep1	rep1	low_dose	Spark	TES	mm39
230818_VH00163_52_AACWHTHM5	004_S6_S6_a1	CAG_EGFP_ITR_corrected	S6	rep1	rep2	low_dose	Spark	TES	mm39
230818_VH00163_52_AACWHTHM5	004_S7_S7_a1	CAG_EGFP_ITR_corrected	S7	rep1	rep1	high_dose	Spark	TES	mm39
230818_VH00163_52_AACWHTHM5	004_S8_S8_a1	CAG_EGFP_ITR_corrected	S8	rep1	rep2	high_dose	Spark	TES	mm39
230818_VH00163_52_AACWHTHM5	004_S9_S9_a1	CAG_EGFP_ITR_corrected	S9	rep1	rep1	low_dose_with_standard	Spark	TES	mm39
230818_VH00163_52_AACWHTHM5	004_S10_S10_a1	CAG_EGFP_ITR_corrected	S10	rep1	rep2	low_dose_with_standard	Spark	TES	mm39
230818_VH00163_52_AACWHTHM5	004_S11_S11_a1	CAG_EGFP_ITR_corrected	S11	rep1	rep1	high_dose_with_standard	Spark	TES	mm39
230818_VH00163_52_AACWHTHM5	004_S12_S12_a1	CAG_EGFP_ITR_corrected	S12	rep1	rep2	high_dose_with_standard	Spark	TES	mm39
230818_VH00163_52_AACWHTHM5	005_S1_S13_a1	CAG_EGFP_ITR_corrected	S1	rep2	rep1	mock_control	Spark	TES	mm39
230818_VH00163_52_AACWHTHM5	005_S2_S14_a1	CAG_EGFP_ITR_corrected	S2	rep2	rep2	mock_control	Spark	TES	mm39
230818_VH00163_52_AACWHTHM5	005_S3_S15_a1	CAG_EGFP_ITR_corrected	S3	rep2	rep1	standard_control	Spark	TES	mm39
230818_VH00163_52_AACWHTHM5	005_S4_S16_a1	CAG_EGFP_ITR_corrected	S4	rep2	rep2	standard_control	Spark	TES	mm39
230818_VH00163_52_AACWHTHM5	005_S5_S17_a1	CAG_EGFP_ITR_corrected	S5	rep2	rep1	low_dose	Spark	TES	mm39
230818_VH00163_52_AACWHTHM5	005_S6_S18_a1	CAG_EGFP_ITR_corrected	S6	rep2	rep2	low_dose	Spark	TES	mm39
230818_VH00163_52_AACWHTHM5	005_S7_S19_a1	CAG_EGFP_ITR_corrected	S7	rep2	rep1	high_dose	Spark	TES	mm39
230818_VH00163_52_AACWHTHM5	005_S8_S20_a1	CAG_EGFP_ITR_corrected	S8	rep2	rep2	high_dose	Spark	TES	mm39
230818_VH00163_52_AACWHTHM5	005_S9_S21_a1	CAG_EGFP_ITR_corrected	S9	rep2	rep1	low_dose_with_standard	Spark	TES	mm39
230818_VH00163_52_AACWHTHM5	005_S10_S22_a1	CAG_EGFP_ITR_corrected	S10	rep2	rep2	low_dose_with_standard	Spark	TES	mm39
